generation,fitness
1848,4436770
1849,4436755.5
1850,4436407
1851,4436236
1852,4436286
1853,4436243.5
1854,4436243.5
1855,4436013
1856,4435732.5
1857,4435732.5
1858,4435732.5
1859,4435530
1860,4435176
1861,4435171
1862,4435070.5
1863,4434897.5
1864,4434865
1865,4434758
1866,4434390
1867,4434390
1868,4434317
1869,4434111.5
1870,4434111.5
1871,4434050
1872,4434050
1873,4433767.5
1874,4433325
1875,4433423
1876,4433260
1877,4432935
1878,4432935
1879,4432935
1880,4432935
1881,4432740
1882,4432371.5
1883,4432371.5
1884,4432371.5
1885,4432149
1886,4432149
1887,4432149
1888,4432149
1889,4432149
1890,4432149
1891,4432112
1892,4432112
1893,4432112
1894,4431856
1895,4431736
1896,4431736
1897,4431370.5
1898,4431370.5
1899,4431370.5
1900,4431370.5
1901,4430877
1902,4430877
1903,4430877
1904,4430877
1905,4430877
1906,4430830
1907,4430830
1908,4430617
1909,4430617
1910,4430617
1911,4430617
1912,4430325
1913,4430288.5
1914,4430194
1915,4430194
1916,4430194
1917,4430194
1918,4429578
1919,4429578
1920,4429578
1921,4429578
1922,4429196
1923,4429196
1924,4429645
1925,4429382
1926,4429382
1927,4429382
1928,4429029
1929,4429029
1930,4429029
1931,4428948.5
1932,4428948.5
1933,4428948.5
1934,4428704
1935,4428704
1936,4428704
1937,4428673
1938,4428673
1939,4428656
1940,4428383
1941,4428277
1942,4428383
1943,4428383
1944,4428353
1945,4428179
1946,4428179
1947,4428179
1948,4428179
1949,4428179
1950,4428147
1951,4428083
1952,4427999
1953,4427981
1954,4427866.5
1955,4427866.5
1956,4427765
1957,4427704.5
1958,4427704.5
1959,4427704.5
1960,4427611.5
